"Club Name","Post Type","Instagram Handle","Instagram URL","Meta Key"
"UNBC Afro-Caribbean Student Association",organization,@unbc_acsa,https://www.instagram.com/unbc_acsa/,org_instagram
"UNBC Alpha Pi Beta Sorority",organization,@alphapibeta,https://instagram.com/alphapibeta,org_instagram
"UNBC Arts Club",organization,@unbcartsclub,https://www.instagram.com/unbcartsclub/,org_instagram
"UNBC Book Club",organization,@unbcbookclub,https://www.instagram.com/unbcbookclub/,org_instagram
"UNBC Chemistry & Biochemistry Club",organization,@unbcchembiochemclub,https://instagram.com/unbcchembiochemclub,org_instagram
"UNBC Chess Club",organization,@unbcchessclub,https://www.instagram.com/unbcchessclub/,org_instagram
"UNBC Commerce Student Association",organization,@unbc_csa,https://instagram.com/unbc_csa,org_instagram
"UNBC Computer Science Club",organization,@unbccompsci,https://instagram.com/unbccompsci,org_instagram
"UNBC Cricket Club",organization,@unbc_cricket_club,https://www.instagram.com/unbc_cricket_club/,org_instagram
"UNBC Dance Connection",organization,@unbcdanceconnection,https://www.instagram.com/unbcdanceconnection/,org_instagram
"UNBC DIY Club",organization,@diyunbc,https://instagram.com/diyunbc,org_instagram
"UNBC Ecosocialist Ecofeminist Theory",organization,@unbceetclub,https://www.instagram.com/unbceetclub/,org_instagram
"UNBC Education Club",organization,@unbc_educationclub,https://www.instagram.com/unbc_educationclub/,org_instagram
"UNBC Engineering Student Association",organization,@unbcesa,https://www.instagram.com/unbcesa/,org_instagram
"UNBC Fisheries Club",organization,@unbcfisheriesclub,https://www.instagram.com/unbcfisheriesclub/,org_instagram
"UNBC Forestry Club",organization,@unbcforestryclub,https://www.instagram.com/unbcforestryclub/,org_instagram
"UNBC GEES Student Club",organization,@unbcgeesclub,https://www.instagram.com/unbcgeesclub/,org_instagram
"UNBC Groovers",organization,@unbc_groovers,https://www.instagram.com/unbc_groovers/,org_instagram
"UNBC Health Sciences Student Association",organization,@unbchealthsciences,https://instagram.com/unbchealthsciences,org_instagram
"UNBC HippoCampus",organization,@unbchippocampusclub,https://www.instagram.com/unbchippocampusclub/,org_instagram
"UNBC History Club",organization,@unbc_histclub,https://www.instagram.com/unbc_histclub/,org_instagram
"UNBC Intercultural Language Club",organization,@unbclanguageclub,https://www.instagram.com/unbclanguageclub/,org_instagram
"UNBC International Studies Student Association",organization,@issa_unbc,https://www.instagram.com/issa_unbc/,org_instagram
"UNBC InterVarsity Christian Fellowship",organization,@ivcf.pg,https://www.instagram.com/ivcf.pg/,org_instagram
"UNBC Investment Club",organization,@unbcinvestmentclub,https://www.instagram.com/unbcinvestmentclub/,org_instagram
"UNBC Iranian Student Association",organization,@unbc_isa,https://www.instagram.com/unbc_isa/,org_instagram
